[WARN][article.go:187]2020/05/13 06:23:38 [err.key: %s, err.message: %s modified_by 修改人不能为空]
[WARN][article.go:122]2020/05/13 09:48:44 [err.key: %s, err.message: %s created_by 创建人不能为空]
[WARN][article.go:124]2020/05/13 10:17:58 [err.key: %s, err.message: %s cover_image_url 封面图片地址不能为空]
[INFO][request.go:12]2020/05/13 14:55:08 [Title.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 14:55:08 [Desc.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 14:55:08 [Content.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 14:55:08 [CreatedBy.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 14:55:08 [CoverImageUrl.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 14:56:20 [CoverImageUrl.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:06:12 [Username.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:06:12 [Password.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:07:37 [Username.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:07:37 [Password.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:07:57 [Username.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:07:57 [Password.Required. Can not be empty]
[INFO][request.go:12]2020/05/13 15:10:37 [Username.Required. Can not be empty]
